tc,sc,time,file,label
15.0,12.0,14.058002041,bristlecone_48_1-16-1_0.txt,CoTenGra
13.0,12.0,1.448095875,bristlecone_48_1-16-1_0.txt,EinExprs (KaHyPar)
13.0,12.0,0.06436825,bristlecone_48_1-16-1_0.txt,EinExprs (METIS)
18.0,16.0,11.2364525,bristlecone_48_1-20-1_0.txt,CoTenGra
16.0,15.0,1.897086916,bristlecone_48_1-20-1_0.txt,EinExprs (KaHyPar)
15.0,14.0,0.100144708,bristlecone_48_1-20-1_0.txt,EinExprs (METIS)
21.0,20.0,19.834680875,bristlecone_48_1-24-1_0.txt,CoTenGra
20.0,18.0,3.8545395,bristlecone_48_1-24-1_0.txt,EinExprs (KaHyPar)
20.0,17.0,0.206504625,bristlecone_48_1-24-1_0.txt,EinExprs (METIS)
29.0,27.0,28.683627,bristlecone_48_1-32-1_0.txt,CoTenGra
27.0,27.0,6.972393208,bristlecone_48_1-32-1_0.txt,EinExprs (KaHyPar)
27.0,24.0,0.379946292,bristlecone_48_1-32-1_0.txt,EinExprs (METIS)
36.0,27.0,59.386096333,bristlecone_48_1-40-1_0.txt,CoTenGra
33.0,29.0,10.405458667,bristlecone_48_1-40-1_0.txt,EinExprs (KaHyPar)
33.0,29.0,0.625953917,bristlecone_48_1-40-1_0.txt,EinExprs (METIS)
24.0,20.0,17.136361584,bristlecone_60_1-24-1_0.txt,CoTenGra
22.0,19.0,5.570175625,bristlecone_60_1-24-1_0.txt,EinExprs (KaHyPar)
21.0,19.0,0.276530375,bristlecone_60_1-24-1_0.txt,EinExprs (METIS)
34.0,24.0,53.548191541,bristlecone_60_1-32-1_0.txt,CoTenGra
29.0,26.0,9.116641333,bristlecone_60_1-32-1_0.txt,EinExprs (KaHyPar)
29.0,28.0,0.517203583,bristlecone_60_1-32-1_0.txt,EinExprs (METIS)
41.0,33.0,33.512499833,bristlecone_60_1-40-1_0.txt,CoTenGra
34.0,31.0,13.479144542,bristlecone_60_1-40-1_0.txt,EinExprs (KaHyPar)
34.0,32.0,0.84672075,bristlecone_60_1-40-1_0.txt,EinExprs (METIS)
13.0,9.0,9.642389583,bristlecone_70_1-12-1_0.txt,CoTenGra
11.0,11.0,0.020547125,bristlecone_70_1-12-1_0.txt,EinExprs (KaHyPar)
11.0,11.0,0.014708958,bristlecone_70_1-12-1_0.txt,EinExprs (METIS)
18.0,16.0,15.474831459,bristlecone_70_1-16-1_0.txt,CoTenGra
16.0,14.0,3.08994925,bristlecone_70_1-16-1_0.txt,EinExprs (KaHyPar)
16.0,14.0,0.139778459,bristlecone_70_1-16-1_0.txt,EinExprs (METIS)
24.0,21.0,23.242305542,bristlecone_70_1-20-1_0.txt,CoTenGra
20.0,17.0,5.396176166,bristlecone_70_1-20-1_0.txt,EinExprs (KaHyPar)
20.0,17.0,0.260344542,bristlecone_70_1-20-1_0.txt,EinExprs (METIS)
29.0,24.0,24.940163667,bristlecone_70_1-24-1_0.txt,CoTenGra
23.0,22.0,7.30226625,bristlecone_70_1-24-1_0.txt,EinExprs (KaHyPar)
24.0,22.0,0.383428666,bristlecone_70_1-24-1_0.txt,EinExprs (METIS)
38.0,32.0,45.980550041,bristlecone_70_1-32-1_0.txt,CoTenGra
31.0,28.0,12.287565708,bristlecone_70_1-32-1_0.txt,EinExprs (KaHyPar)
32.0,31.0,0.736314667,bristlecone_70_1-32-1_0.txt,EinExprs (METIS)
48.0,40.0,48.644372125,bristlecone_70_1-40-1_0.txt,CoTenGra
39.0,36.0,17.472868834,bristlecone_70_1-40-1_0.txt,EinExprs (KaHyPar)
39.0,37.0,1.18498225,bristlecone_70_1-40-1_0.txt,EinExprs (METIS)
35.0,25.0,52.234921667,rectangular_11x12_1-16-1_0.txt,CoTenGra
26.0,24.0,8.973125042,rectangular_11x12_1-16-1_0.txt,EinExprs (KaHyPar)
26.0,24.0,0.496592625,rectangular_11x12_1-16-1_0.txt,EinExprs (METIS)
47.0,39.00000000000001,72.178983875,rectangular_11x12_1-24-1_0.txt,CoTenGra
40.0,36.0,18.562845166,rectangular_11x12_1-24-1_0.txt,EinExprs (KaHyPar)
40.0,36.0,1.240310292,rectangular_11x12_1-24-1_0.txt,EinExprs (METIS)
61.0,51.00000000000001,159.232204958,rectangular_11x12_1-32-1_0.txt,CoTenGra
55.0,47.0,31.316166333,rectangular_11x12_1-32-1_0.txt,EinExprs (KaHyPar)
51.0,46.0,2.54292675,rectangular_11x12_1-32-1_0.txt,EinExprs (METIS)
77.0,64.0,118.302309833,rectangular_11x12_1-40-1_0.txt,CoTenGra
68.0,62.0,43.640469958,rectangular_11x12_1-40-1_0.txt,EinExprs (KaHyPar)
63.0,58.0,4.398373542,rectangular_11x12_1-40-1_0.txt,EinExprs (METIS)
6.0,4.0,0.731848208,rectangular_2x2_1-2-1_0.txt,CoTenGra
6.0,6.0,9.8e-5,rectangular_2x2_1-2-1_0.txt,EinExprs (KaHyPar)
6.0,6.0,9.8375e-5,rectangular_2x2_1-2-1_0.txt,EinExprs (METIS)
9.0,7.0,1.472524,rectangular_4x4_1-16-1_0.txt,CoTenGra
9.0,9.0,0.0029505,rectangular_4x4_1-16-1_0.txt,EinExprs (KaHyPar)
9.0,9.0,0.003022375,rectangular_4x4_1-16-1_0.txt,EinExprs (METIS)
14.0,11.0,3.750575083,rectangular_6x6_1-16-1_0.txt,CoTenGra
13.0,11.0,0.025013334,rectangular_6x6_1-16-1_0.txt,EinExprs (KaHyPar)
13.0,11.0,0.017179584,rectangular_6x6_1-16-1_0.txt,EinExprs (METIS)
23.0,17.0,14.436139375,rectangular_6x6_1-24-1_0.txt,CoTenGra
21.0,17.0,2.2304205,rectangular_6x6_1-24-1_0.txt,EinExprs (KaHyPar)
21.0,17.0,0.12150225,rectangular_6x6_1-24-1_0.txt,EinExprs (METIS)
30.0,23.0,19.194209208,rectangular_6x6_1-32-1_0.txt,CoTenGra
27.0,24.0,5.319999833,rectangular_6x6_1-32-1_0.txt,EinExprs (KaHyPar)
26.0,25.0,0.28416975,rectangular_6x6_1-32-1_0.txt,EinExprs (METIS)
40.0,31.000000000000004,25.790644,rectangular_7x7_1-32-1_0.txt,CoTenGra
33.0,30.0,7.963695625,rectangular_7x7_1-32-1_0.txt,EinExprs (KaHyPar)
32.0,29.0,0.497148833,rectangular_7x7_1-32-1_0.txt,EinExprs (METIS)
45.0,35.0,86.161276458,rectangular_7x7_1-40-1_0.txt,CoTenGra
41.0,36.0,11.758209917,rectangular_7x7_1-40-1_0.txt,EinExprs (KaHyPar)
40.0,36.0,0.81843475,rectangular_7x7_1-40-1_0.txt,EinExprs (METIS)
55.0,52.0,35.531773083,rectangular_7x7_1-48-1_0.txt,CoTenGra
49.0,46.0,15.849273291,rectangular_7x7_1-48-1_0.txt,EinExprs (KaHyPar)
48.0,46.0,1.215720375,rectangular_7x7_1-48-1_0.txt,EinExprs (METIS)
29.0,23.0,55.2740415,rectangular_8x8_1-24-1_0.txt,CoTenGra
27.0,25.0,6.75057125,rectangular_8x8_1-24-1_0.txt,EinExprs (KaHyPar)
27.0,24.0,0.37380725,rectangular_8x8_1-24-1_0.txt,EinExprs (METIS)
40.0,34.0,47.810124459,rectangular_8x8_1-32-1_0.txt,CoTenGra
37.0,34.0,11.540378917,rectangular_8x8_1-32-1_0.txt,EinExprs (KaHyPar)
37.0,33.0,0.731784958,rectangular_8x8_1-32-1_0.txt,EinExprs (METIS)
55.0,41.0,85.333216542,rectangular_8x8_1-40-1_0.txt,CoTenGra
47.0,43.0,16.721854916,rectangular_8x8_1-40-1_0.txt,EinExprs (KaHyPar)
45.0,43.0,1.240698125,rectangular_8x8_1-40-1_0.txt,EinExprs (METIS)
33.0,29.000000000000004,39.499126041,rectangular_8x9_1-24-1_0.txt,CoTenGra
29.0,26.0,7.551981792,rectangular_8x9_1-24-1_0.txt,EinExprs (KaHyPar)
28.0,25.0,0.465611084,rectangular_8x9_1-24-1_0.txt,EinExprs (METIS)
46.0,38.0,46.353958458,rectangular_8x9_1-32-1_0.txt,CoTenGra
38.0,35.0,13.840073,rectangular_8x9_1-32-1_0.txt,EinExprs (KaHyPar)
37.0,36.0,0.928637833,rectangular_8x9_1-32-1_0.txt,EinExprs (METIS)
56.0,47.00000000000001,85.931834209,rectangular_8x9_1-40-1_0.txt,CoTenGra
49.0,43.0,20.055585709,rectangular_8x9_1-40-1_0.txt,EinExprs (KaHyPar)
47.0,43.0,1.529362458,rectangular_8x9_1-40-1_0.txt,EinExprs (METIS)
15.0,12.0,13.54458775,rochester_53_10_0_pABC.txt,CoTenGra
14.0,12.0,4.187031292,rochester_53_10_0_pABC.txt,EinExprs (KaHyPar)
14.0,12.0,0.196628667,rochester_53_10_0_pABC.txt,EinExprs (METIS)
19.0,15.0,14.253687833,rochester_53_12_0_pABC.txt,CoTenGra
17.0,16.0,6.515125083,rochester_53_12_0_pABC.txt,EinExprs (KaHyPar)
17.0,15.0,0.312061416,rochester_53_12_0_pABC.txt,EinExprs (METIS)
27.0,19.0,10.281835833,rochester_53_16_0_pABC.txt,CoTenGra
22.0,18.0,10.96862275,rochester_53_16_0_pABC.txt,EinExprs (KaHyPar)
22.0,19.0,0.585089625,rochester_53_16_0_pABC.txt,EinExprs (METIS)
31.0,25.0,28.606043292,rochester_53_20_0_pABC.txt,CoTenGra
27.0,24.0,16.519709209,rochester_53_20_0_pABC.txt,EinExprs (KaHyPar)
27.0,24.0,0.906135083,rochester_53_20_0_pABC.txt,EinExprs (METIS)
5.0,4.0,2.387580458,rochester_53_4_0_pABC.txt,CoTenGra
5.0,5.0,0.005063166,rochester_53_4_0_pABC.txt,EinExprs (KaHyPar)
5.0,5.0,0.001566667,rochester_53_4_0_pABC.txt,EinExprs (METIS)
11.0,9.0,7.155019833,rochester_53_8_0_pABC.txt,CoTenGra
11.0,9.0,2.500791125,rochester_53_8_0_pABC.txt,EinExprs (KaHyPar)
11.0,10.0,0.101941959,rochester_53_8_0_pABC.txt,EinExprs (METIS)
39.0,28.0,32.225478208,sycamore_53_10_0.txt,CoTenGra
33.0,27.0,8.601136166,sycamore_53_10_0.txt,EinExprs (KaHyPar)
33.0,33.0,1.098625625,sycamore_53_10_0.txt,EinExprs (METIS)
49.0,36.0,37.323620917,sycamore_53_12_0.txt,CoTenGra
45.0,44.0,13.308456208,sycamore_53_12_0.txt,EinExprs (KaHyPar)
45.0,39.0,1.357665416,sycamore_53_12_0.txt,EinExprs (METIS)
54.0,45.0,106.926108542,sycamore_53_14_0.txt,CoTenGra
51.0,51.0,16.439365417,sycamore_53_14_0.txt,EinExprs (KaHyPar)
49.0,39.0,1.736898958,sycamore_53_14_0.txt,EinExprs (METIS)
63.0,51.00000000000001,73.128913292,sycamore_53_16_0.txt,CoTenGra
62.0,62.0,21.035349,sycamore_53_16_0.txt,EinExprs (KaHyPar)
61.0,54.0,2.690322709,sycamore_53_16_0.txt,EinExprs (METIS)
63.0,53.0,134.096999583,sycamore_53_18_0.txt,CoTenGra
66.0,53.0,24.254499958,sycamore_53_18_0.txt,EinExprs (KaHyPar)
63.0,58.0,3.044159125,sycamore_53_18_0.txt,EinExprs (METIS)
70.0,55.00000000000001,89.567398041,sycamore_53_20_0.txt,CoTenGra
68.0,64.0,28.077388459,sycamore_53_20_0.txt,EinExprs (KaHyPar)
65.0,60.0,3.912312208,sycamore_53_20_0.txt,EinExprs (METIS)
14.0,10.0,7.021059375,sycamore_53_4_0.txt,CoTenGra
13.0,10.0,0.017423208,sycamore_53_4_0.txt,EinExprs (KaHyPar)
13.0,10.0,0.014907666,sycamore_53_4_0.txt,EinExprs (METIS)
16.0,12.0,15.299082125,sycamore_53_5_0.txt,CoTenGra
16.0,15.0,1.263894084,sycamore_53_5_0.txt,EinExprs (KaHyPar)
15.0,13.0,0.09525275,sycamore_53_5_0.txt,EinExprs (METIS)
17.0,13.0,22.738552166,sycamore_53_6_0.txt,CoTenGra
17.0,13.0,2.746559375,sycamore_53_6_0.txt,EinExprs (KaHyPar)
16.0,13.0,0.171400833,sycamore_53_6_0.txt,EinExprs (METIS)
31.0,24.0,25.900284291,sycamore_53_8_0.txt,CoTenGra
29.0,27.0,6.144491416,sycamore_53_8_0.txt,EinExprs (KaHyPar)
30.0,24.0,0.508283917,sycamore_53_8_0.txt,EinExprs (METIS)
