tc,sc,time,file,label
14.0,12.0,8.077947709,bristlecone_48_1-16-1_0.txt,CoTenGra
13.0,10.0,3.341990333,bristlecone_48_1-16-1_0.txt,OMEinsum (KaHyPar)
13.0,10.0,1.102090292,bristlecone_48_1-16-1_0.txt,OMEinsum (METIS)
17.0,15.0,17.816278208,bristlecone_48_1-20-1_0.txt,CoTenGra
16.0,12.0,5.334445417,bristlecone_48_1-20-1_0.txt,OMEinsum (KaHyPar)
16.0,12.0,1.417455625,bristlecone_48_1-20-1_0.txt,OMEinsum (METIS)
21.0,19.0,27.900189833,bristlecone_48_1-24-1_0.txt,CoTenGra
20.0,15.0,10.606163292,bristlecone_48_1-24-1_0.txt,OMEinsum (KaHyPar)
21.0,16.0,1.837419542,bristlecone_48_1-24-1_0.txt,OMEinsum (METIS)
28.0,25.0,33.968035958,bristlecone_48_1-32-1_0.txt,CoTenGra
27.0,21.0,15.891992958,bristlecone_48_1-32-1_0.txt,OMEinsum (KaHyPar)
28.0,20.0,2.509264125,bristlecone_48_1-32-1_0.txt,OMEinsum (METIS)
36.0,31.000000000000004,33.879168667,bristlecone_48_1-40-1_0.txt,CoTenGra
35.0,26.0,22.903947042,bristlecone_48_1-40-1_0.txt,OMEinsum (KaHyPar)
34.0,25.0,3.202108208,bristlecone_48_1-40-1_0.txt,OMEinsum (METIS)
24.0,18.0,20.728506542,bristlecone_60_1-24-1_0.txt,CoTenGra
24.0,17.0,13.27636,bristlecone_60_1-24-1_0.txt,OMEinsum (KaHyPar)
24.0,17.0,2.217577209,bristlecone_60_1-24-1_0.txt,OMEinsum (METIS)
35.0,30.0,36.480753875,bristlecone_60_1-32-1_0.txt,CoTenGra
32.0,23.0,20.708889,bristlecone_60_1-32-1_0.txt,OMEinsum (KaHyPar)
31.0,23.0,3.130839792,bristlecone_60_1-32-1_0.txt,OMEinsum (METIS)
41.0,33.0,75.134230042,bristlecone_60_1-40-1_0.txt,CoTenGra
40.0,29.0,29.408160875,bristlecone_60_1-40-1_0.txt,OMEinsum (KaHyPar)
35.0,30.0,4.137129459,bristlecone_60_1-40-1_0.txt,OMEinsum (METIS)
14.0,10.0,11.788188583,bristlecone_70_1-12-1_0.txt,CoTenGra
11.0,9.0,3.43796,bristlecone_70_1-12-1_0.txt,OMEinsum (KaHyPar)
11.0,9.0,1.2904315,bristlecone_70_1-12-1_0.txt,OMEinsum (METIS)
18.0,14.0,17.023358,bristlecone_70_1-16-1_0.txt,CoTenGra
17.0,13.0,7.24284425,bristlecone_70_1-16-1_0.txt,OMEinsum (KaHyPar)
17.0,13.0,1.794341875,bristlecone_70_1-16-1_0.txt,OMEinsum (METIS)
23.0,18.0,25.702558875,bristlecone_70_1-20-1_0.txt,CoTenGra
20.0,16.0,12.459584,bristlecone_70_1-20-1_0.txt,OMEinsum (KaHyPar)
20.0,16.0,2.248025291,bristlecone_70_1-20-1_0.txt,OMEinsum (METIS)
29.0,25.0,29.447634,bristlecone_70_1-24-1_0.txt,CoTenGra
26.0,19.0,16.297284416,bristlecone_70_1-24-1_0.txt,OMEinsum (KaHyPar)
26.0,19.0,2.786242833,bristlecone_70_1-24-1_0.txt,OMEinsum (METIS)
38.0,30.0,94.599600084,bristlecone_70_1-32-1_0.txt,CoTenGra
36.0,26.0,26.863522875,bristlecone_70_1-32-1_0.txt,OMEinsum (KaHyPar)
35.0,26.0,3.905601458,bristlecone_70_1-32-1_0.txt,OMEinsum (METIS)
46.0,36.0,41.299535334,bristlecone_70_1-40-1_0.txt,CoTenGra
45.0,33.0,36.890783583,bristlecone_70_1-40-1_0.txt,OMEinsum (KaHyPar)
44.0,32.0,5.11609875,bristlecone_70_1-40-1_0.txt,OMEinsum (METIS)
30.0,24.0,30.767040166,rectangular_11x12_1-16-1_0.txt,CoTenGra
27.0,21.0,20.828003542,rectangular_11x12_1-16-1_0.txt,OMEinsum (KaHyPar)
27.0,21.0,3.811999208,rectangular_11x12_1-16-1_0.txt,OMEinsum (METIS)
43.0,37.0,72.736743917,rectangular_11x12_1-24-1_0.txt,CoTenGra
42.0,32.0,42.030233666,rectangular_11x12_1-24-1_0.txt,OMEinsum (KaHyPar)
43.0,32.0,6.622314708,rectangular_11x12_1-24-1_0.txt,OMEinsum (METIS)
58.0,49.0,172.734157292,rectangular_11x12_1-32-1_0.txt,CoTenGra
