tc,sc,time,file,label
15.0,13.0,9.383542166,bristlecone_48_1-16-1_0.txt,CoTenGra
13.0,12.0,2.551237875,bristlecone_48_1-16-1_0.txt,EinExprs (KaHyPar)
13.0,12.0,0.359539958,bristlecone_48_1-16-1_0.txt,EinExprs (METIS)
18.0,16.0,13.316404209,bristlecone_48_1-20-1_0.txt,CoTenGra
16.0,14.0,4.31253925,bristlecone_48_1-20-1_0.txt,EinExprs (KaHyPar)
16.0,14.0,0.480332333,bristlecone_48_1-20-1_0.txt,EinExprs (METIS)
21.0,16.0,13.206715583,bristlecone_48_1-24-1_0.txt,CoTenGra
20.0,17.0,9.317939541,bristlecone_48_1-24-1_0.txt,EinExprs (KaHyPar)
20.0,17.0,0.645548083,bristlecone_48_1-24-1_0.txt,EinExprs (METIS)
29.0,24.0,37.931008125,bristlecone_48_1-32-1_0.txt,CoTenGra
27.0,23.0,14.331123917,bristlecone_48_1-32-1_0.txt,EinExprs (KaHyPar)
27.0,23.0,0.979613959,bristlecone_48_1-32-1_0.txt,EinExprs (METIS)
37.0,28.0,60.602894,bristlecone_48_1-40-1_0.txt,CoTenGra
33.0,30.0,20.344317042,bristlecone_48_1-40-1_0.txt,EinExprs (KaHyPar)
33.0,28.0,1.390144125,bristlecone_48_1-40-1_0.txt,EinExprs (METIS)
27.0,23.0,21.602661208,bristlecone_60_1-24-1_0.txt,CoTenGra
22.0,19.0,11.383024125,bristlecone_60_1-24-1_0.txt,EinExprs (KaHyPar)
21.0,20.0,0.830922458,bristlecone_60_1-24-1_0.txt,EinExprs (METIS)
33.0,27.0,44.735326459,bristlecone_60_1-32-1_0.txt,CoTenGra
31.0,26.0,18.561363667,bristlecone_60_1-32-1_0.txt,EinExprs (KaHyPar)
30.0,27.0,1.277796792,bristlecone_60_1-32-1_0.txt,EinExprs (METIS)
43.0,37.0,62.190013541,bristlecone_60_1-40-1_0.txt,CoTenGra
36.0,32.0,27.425463,bristlecone_60_1-40-1_0.txt,EinExprs (KaHyPar)
35.0,34.0,1.750124,bristlecone_60_1-40-1_0.txt,EinExprs (METIS)
14.0,11.0,6.89964825,bristlecone_70_1-12-1_0.txt,CoTenGra
12.0,10.0,2.448305208,bristlecone_70_1-12-1_0.txt,EinExprs (KaHyPar)
